"Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","HRT","T_AIR","HRT_sec","Wind","basin_id","Pour_long","Pour_lat"
171102,NA,"France","Europe","SWBD",2,3420,1.39,8.68,2.08,34,34,2,24.5,34.239,11.5,365,21.9,2035.6,993600,9.7982120513916,993600,7,"209878",5.690696,45.005144
171132,NA,"France","Europe","SWBD",2,3421,3.31,27.22,4.22,275,275,2,83.2,33.891,93.9,470,16.44,2013.2,8112960,9.7982120513916,8112960,7,"209878",5.69088,44.960165
171233,NA,"France","Europe","SWBD",2,3427,1.94,13.94,2.82,130,130,2,67,17.722,84.9,750,14.71,984.1,7335360,9.7982120513916,7335360,7,"209878",5.911998,44.817345
171431,NA,"France","Europe","SWBD",1,0,1.1,6.25,1.68,17.64,0,3,16,53.641,3.8,658,12.63,3739.9,328320,9.2461633682251,328320,7,"209878",6.236915,44.464046
171620,NA,"France","Europe","SWBD",2,3443,3.25,22.55,3.53,149,149,2,45.9,8.163,211.3,867,15.27,627.9,18256320,9.2461633682251,18256320,7,"209878",6.535417,43.88125
171677,"Lac de l'Esparron","France","Europe","SWBD",2,3449,2.1,14.05,2.74,80,80,2,38.1,24.32,38.1,361,10.85,1780.5,3291840,14.9195804595947,3291840,7,"209878",5.928199,43.750188
171695,NA,"France","Europe","SWBD",1,0,1.17,4.42,1.15,4.33,0,3,3.7,142.745,0.4,252,2.18,11648.7,34560,14.9195804595947,34560,7,"209878",5.732642,43.705102
171697,NA,"France","Europe","GRanD",2,3451,1.63,22.19,4.9,19.5,19.5,2,11.9,22.971,9.8,404,6.85,1647.6,846720,14.9195804595947,846720,7,"209878",6.053781,43.698949
1348298,NA,"France","Europe","SWBD",1,0,0.52,4.52,1.77,1.55,0,3,3,6.472,2.8,237,1.32,348.8,241920,6.41371488571167,241920,7,"209878",6.249064,47.869486
1348616,NA,"France","Europe","SWBD",1,0,0.17,1.78,1.23,0.33,0,3,2,4.589,0.8,264,0.84,209,69120,6.41371488571167,69120,7,"209878",6.353335,47.797642
1349074,NA,"France","Europe","SWBD",1,0,0.23,2.68,1.6,0.89,0,3,4,1.907,5.4,356,3.08,75.6,466560,6.41371488571167,466560,7,"209878",6.661052,47.702309
1349281,NA,"France","Europe","SWBD",1,0,0.14,2.49,1.89,0.19,0,3,1.4,9.232,0.2,287,0.4,348.7,17280,6.41371488571167,17280,7,"209878",6.500883,47.658185
1349359,NA,"France","Europe","SWBD",1,0,0.79,4.57,1.45,1.78,0,3,2.3,6.214,3.3,211,0.65,335.6,285120,8.3361291885376,285120,7,"209878",6.110563,47.638203
1349675,NA,"France","Europe","SWBD",1,0,0.2,2.65,1.69,0.43,0,3,2.2,5.615,0.9,324,0.92,213.9,77760,6.41371488571167,77760,7,"209878",6.860917,47.545431
1349719,NA,"France","Europe","SWBD",1,0,0.28,3.64,1.93,0.58,0,3,2.1,5.717,1.2,322,0.73,215.9,103680,6.41371488571167,103680,7,"209878",6.856263,47.531521
1349773,NA,"France","Europe","SWBD",1,0,0.15,1.67,1.22,0.33,0,3,2.2,0.93,4.1,221,1.02,70.6,354240,8.3361291885376,354240,7,"209878",5.375424,47.515523
1349805,NA,"France","Europe","SWBD",1,0,0.42,4.32,1.89,2.19,0,3,5.2,20.547,1.2,250,4.53,859,103680,6.41371488571167,103680,7,"209878",6.357485,47.511559
1349938,NA,"France","Europe","SWBD",1,0,0.1,2.04,1.85,0.45,0,3,4.6,0.194,26.6,225,5.45,14.8,2298240,8.3361291885376,2298240,7,"209878",5.305873,47.478458
1350155,NA,"France","Europe","SWBD",1,0,0.19,1.99,1.28,0.48,0,3,2.5,59.439,0.1,335,1.21,2031.9,8640,6.41371488571167,8640,7,"209878",6.786767,47.42609
1350478,NA,"France","Europe","SWBD",1,0,0.15,2.79,2.05,0.2,0,3,1.4,1.644,1.4,217,0.39,138.7,120960,8.3361291885376,120960,7,"209878",5.161939,47.348627
1350562,NA,"France","Europe","SWBD",1,0,0.32,3.29,1.65,1.5,0,3,4.7,7.48,2.3,242,4.03,668.5,198720,8.3361291885376,198720,7,"209878",5.005647,47.325691
1350619,NA,"France","Europe","SWBD",1,0,0.41,4.58,2.02,1.38,0,3,3.4,0.253,62.9,189,1.84,17.9,5434560,8.3361291885376,5434560,7,"209878",5.363563,47.308743
1350945,NA,"France","Europe","SWBD",1,0,0.18,1.85,1.23,0.56,0,3,3.1,0.2,32.2,223,1.97,16.5,2782080,8.3361291885376,2782080,7,"209878",5.026378,47.222183
1351142,NA,"France","Europe","SWBD",1,0,0.33,3.45,1.7,1.3,0,3,4,123.679,0.1,215,2.8,4692.5,8640,8.3361291885376,8640,7,"209878",5.81909,47.169384
1351156,NA,"Switzerland","Europe","SWBD",1,0,0.2,2.34,1.49,1.4,0,3,7.1,34.217,0.5,611,10.88,948,43200,6.41371488571167,43200,7,"209878",6.848027,47.16516
1351536,NA,"Switzerland","Europe","SWBD",1,0,0.55,7.96,3.03,5.49,0,3,10,31.737,2,750,15.86,841.3,172800,6.41371488571167,172800,7,"209878",6.706196,47.079883
1351781,NA,"France","Europe","SWBD",1,0,0.2,3.59,2.27,0.79,0,3,4,0.595,15.3,188,3.2,43.9,1321920,8.3361291885376,1321920,7,"209878",5.018329,47.007004
1351989,NA,"France","Europe","SWBD",1,0,0.22,3.39,2.04,0.63,0,3,2.9,22.954,0.3,799,1.62,593.1,25920,6.41371488571167,25920,7,"209878",6.355534,46.944659
1352216,NA,"France","Europe","SWBD",1,0,0.15,3.03,2.19,0.45,0,3,2.9,0.336,15.4,193,1.86,17.6,1330560,8.3361291885376,1330560,7,"209878",5.326258,46.878363
1352371,NA,"France","Europe","SWBD",1,0,0.7,3.76,1.26,4.51,0,3,6.4,1.898,27.5,826,5.88,55.8,2376000,8.3361291885376,2376000,7,"209878",6.199207,46.834176
1352584,NA,"France","Europe","SWBD",1,0,0.63,7.61,2.72,2.97,0,3,4.8,0.206,167.1,277,3.27,18.1,14437440,8.3361291885376,14437440,7,"209878",4.53892,46.783952
1353200,NA,"France","Europe","SWBD",1,0,0.26,2.5,1.38,1.56,0,3,5.9,1.391,13,499,6.76,40.5,1123200,8.3361291885376,1123200,7,"209878",5.80334,46.644325
1353280,NA,"France","Europe","SWBD",1,0,0.4,3.2,1.42,4.26,0,3,10.6,0.966,51,503,19.86,28,4406400,8.3361291885376,4406400,7,"209878",5.813966,46.630495
1353293,NA,"France","Europe","SWBD",1,0,0.32,5.7,2.84,1.86,0,3,5.8,29.684,0.7,447,6.06,748.9,60480,8.3361291885376,60480,7,"209878",5.715422,46.62793
